x,z,z_scaled,kernel,globalmax,horizons,environment,id,trials,agent,Edistance
18,67,53,23,71,10,smooth,53,2,human,4
16,45,37,23,71,10,smooth,53,3,human,2
20,85,65,23,71,10,smooth,53,4,human,4
21,56,45,23,71,10,smooth,53,5,human,1
19,86,66,23,71,10,smooth,53,6,human,2
26,82,63,23,71,10,smooth,53,7,human,7
27,99,75,23,71,10,smooth,53,8,human,1
28,89,68,23,71,10,smooth,53,9,human,1
29,71,55,23,71,10,smooth,53,10,human,1
15,36,32,9,76,5,smooth,53,0,human,-1
7,20,20,9,76,5,smooth,53,1,human,8
0,63,53,9,76,5,smooth,53,2,human,7
26,44,38,9,76,5,smooth,53,3,human,26
21,28,26,9,76,5,smooth,53,4,human,5
2,13,15,9,76,5,smooth,53,5,human,19
8,15,16,17,71,10,smooth,53,0,human,-1
14,47,38,17,71,10,smooth,53,1,human,6
18,6,9,17,71,10,smooth,53,2,human,4
12,38,32,17,71,10,smooth,53,3,human,6
15,58,46,17,71,10,smooth,53,4,human,3
16,46,38,17,71,10,smooth,53,5,human,1
2,85,65,17,71,10,smooth,53,6,human,14
1,96,73,17,71,10,smooth,53,7,human,1
0,99,75,17,71,10,smooth,53,8,human,1
3,72,56,17,71,10,smooth,53,9,human,3
29,75,58,17,71,10,smooth,53,10,human,26
12,59,43,19,64,5,smooth,53,0,human,-1
11,66,47,19,64,5,smooth,53,1,human,1
10,78,55,19,64,5,smooth,53,2,human,1
9,86,60,19,64,5,smooth,53,3,human,1
8,85,59,19,64,5,smooth,53,4,human,1
7,85,59,19,64,5,smooth,53,5,human,1
27,8,11,25,77,10,rough,58,0,human,-1
8,58,50,25,77,10,rough,58,1,human,19
7,79,66,25,77,10,rough,58,2,human,1
6,71,60,25,77,10,rough,58,3,human,1
5,29,27,25,77,10,rough,58,4,human,1
17,79,66,25,77,10,rough,58,5,human,12
18,34,31,25,77,10,rough,58,6,human,1
16,100,82,25,77,10,rough,58,7,human,2
15,67,57,25,77,10,rough,58,8,human,1
16,99,81,25,77,10,rough,58,9,human,1
16,101,83,25,77,10,rough,58,10,human,0
18,1,6,10,78,5,rough,58,0,human,-1
8,53,46,10,78,5,rough,58,1,human,10
7,40,36,10,78,5,rough,58,2,human,1
9,97,81,10,78,5,rough,58,3,human,2
9,97,81,10,78,5,rough,58,4,human,0
9,96,80,10,78,5,rough,58,5,human,0
19,53,45,19,76,10,rough,58,0,human,-1
24,33,30,19,76,10,rough,58,1,human,5
17,35,32,19,76,10,rough,58,2,human,7
9,55,47,19,76,10,rough,58,3,human,8
5,40,35,19,76,10,rough,58,4,human,4
6,27,26,19,76,10,rough,58,5,human,1
11,89,73,19,76,10,rough,58,6,human,5
12,99,80,19,76,10,rough,58,7,human,1
12,98,79,19,76,10,rough,58,8,human,0
12,102,83,19,76,10,rough,58,9,human,0
12,101,82,19,76,10,rough,58,10,human,0
22,57,44,29,69,5,rough,58,0,human,-1
9,64,49,29,69,5,rough,58,1,human,13
11,64,49,29,69,5,rough,58,2,human,2
5,73,55,29,69,5,rough,58,3,human,6
3,62,48,29,69,5,rough,58,4,human,2
4,79,60,29,69,5,rough,58,5,human,1
8,36,27,30,60,10,rough,58,0,human,-1
21,36,27,30,60,10,rough,58,1,human,13
24,101,66,30,60,10,rough,58,2,human,3
25,51,36,30,60,10,rough,58,3,human,1
23,57,39,30,60,10,rough,58,4,human,2
24,100,65,30,60,10,rough,58,5,human,1
14,-1,4,30,60,10,rough,58,6,human,10
4,25,20,30,60,10,rough,58,7,human,10
24,99,64,30,60,10,rough,58,8,human,20
24,101,66,30,60,10,rough,58,9,human,0
24,101,66,30,60,10,rough,58,10,human,0
11,76,58,6,70,5,rough,58,0,human,-1
10,90,68,6,70,5,rough,58,1,human,1
9,71,55,6,70,5,rough,58,2,human,1
10,91,69,6,70,5,rough,58,3,human,1
10,90,68,6,70,5,rough,58,4,human,0
10,91,69,6,70,5,rough,58,5,human,0
17,73,51,33,63,10,rough,58,0,human,-1
16,49,36,33,63,10,rough,58,1,human,1
18,60,43,33,63,10,rough,58,2,human,2
7,67,47,33,63,10,rough,58,3,human,11
3,56,40,33,63,10,rough,58,4,human,4
0,75,52,33,63,10,rough,58,5,human,3
29,41,31,33,63,10,rough,58,6,human,29
24,43,32,33,63,10,rough,58,7,human,5
25,24,20,33,63,10,rough,58,8,human,1
26,45,33,33,63,10,rough,58,9,human,1
20,27,22,33,63,10,rough,58,10,human,6
21,14,15,20,71,5,rough,58,0,human,-1
10,71,55,20,71,5,rough,58,1,human,11
9,100,76,20,71,5,rough,58,2,human,1
9,100,76,20,71,5,rough,58,3,human,0
9,100,76,20,71,5,rough,58,4,human,0
9,102,77,20,71,5,rough,58,5,human,0
29,37,29,3,64,10,rough,58,0,human,-1
6,24,20,3,64,10,rough,58,1,human,23
16,17,16,3,64,10,rough,58,2,human,10
12,92,64,3,64,10,rough,58,3,human,4
11,99,68,3,64,10,rough,58,4,human,1
10,99,68,3,64,10,rough,58,5,human,1
10,99,68,3,64,10,rough,58,6,human,0
10,99,68,3,64,10,rough,58,7,human,0
10,98,68,3,64,10,rough,58,8,human,0
10,100,69,3,64,10,rough,58,9,human,0
10,100,69,3,64,10,rough,58,10,human,0
8,67,56,39,76,5,rough,58,0,human,-1
23,39,35,39,76,5,rough,58,1,human,15
17,64,54,39,76,5,rough,58,2,human,6
16,100,81,39,76,5,rough,58,3,human,1
16,100,81,39,76,5,rough,58,4,human,0
16,101,82,39,76,5,rough,58,5,human,0
26,40,30,28,63,10,rough,58,0,human,-1
17,24,20,28,63,10,rough,58,1,human,9
11,43,32,28,63,10,rough,58,2,human,6
6,35,27,28,63,10,rough,58,3,human,5
8,92,63,28,63,10,rough,58,4,human,2
9,67,47,28,63,10,rough,58,5,human,1
8,93,64,28,63,10,rough,58,6,human,1
8,93,64,28,63,10,rough,58,7,human,0
8,92,63,28,63,10,rough,58,8,human,0
8,93,64,28,63,10,rough,58,9,human,0
8,94,64,28,63,10,rough,58,10,human,0
2,61,50,9,73,5,rough,58,0,human,-1
1,61,50,9,73,5,rough,58,1,human,1
3,78,62,9,73,5,rough,58,2,human,2
1,61,50,9,73,5,rough,58,3,human,2
4,93,73,9,73,5,rough,58,4,human,3
4,93,73,9,73,5,rough,58,5,human,0
29,56,41,12,64,10,rough,58,0,human,-1
28,42,32,12,64,10,rough,58,1,human,1
21,32,25,12,64,10,rough,58,2,human,7
14,100,69,12,64,10,rough,58,3,human,7
15,93,65,12,64,10,rough,58,4,human,1
13,50,37,12,64,10,rough,58,5,human,2
14,100,69,12,64,10,rough,58,6,human,1
14,99,68,12,64,10,rough,58,7,human,0
14,99,68,12,64,10,rough,58,8,human,0
14,101,70,12,64,10,rough,58,9,human,0
14,101,70,12,64,10,rough,58,10,human,0
1,54,41,31,67,5,rough,58,0,human,-1
12,80,59,31,67,5,rough,58,1,human,11
13,73,54,31,67,5,rough,58,2,human,1
11,47,36,31,67,5,rough,58,3,human,2
18,71,53,31,67,5,rough,58,4,human,7
12,80,59,31,67,5,rough,58,5,human,6
9,56,42,32,66,10,rough,58,0,human,-1
23,74,54,32,66,10,rough,58,1,human,14
10,90,64,32,66,10,rough,58,2,human,13
22,37,29,32,66,10,rough,58,3,human,12
24,89,64,32,66,10,rough,58,4,human,2
25,45,35,32,66,10,rough,58,5,human,1
24,88,63,32,66,10,rough,58,6,human,1
24,87,62,32,66,10,rough,58,7,human,0
24,88,63,32,66,10,rough,58,8,human,0
24,87,62,32,66,10,rough,58,9,human,0
24,87,62,32,66,10,rough,58,10,human,0
13,64,45,21,62,5,rough,58,0,human,-1
6,58,41,21,62,5,rough,58,1,human,7
14,53,38,21,62,5,rough,58,2,human,8
12,44,32,21,62,5,rough,58,3,human,2
22,-1,4,21,62,5,rough,58,4,human,10
20,51,37,21,62,5,rough,58,5,human,2
27,86,59,21,63,5,smooth,59,0,human,7
26,94,64,21,63,5,smooth,59,1,human,1
25,91,62,21,63,5,smooth,59,2,human,1
24,73,51,21,63,5,smooth,59,3,human,1
23,56,40,21,63,5,smooth,59,4,human,1
22,57,41,21,63,5,smooth,59,5,human,1
2,32,27,23,68,10,smooth,59,0,human,-1
10,15,15,23,68,10,smooth,59,1,human,8
24,20,19,23,68,10,smooth,59,2,human,14
18,68,51,23,68,10,smooth,59,3,human,6
17,50,39,23,68,10,smooth,59,4,human,1
19,87,64,23,68,10,smooth,59,5,human,2
20,84,62,23,68,10,smooth,59,6,human,1
21,53,41,23,68,10,smooth,59,7,human,1
22,25,22,23,68,10,smooth,59,8,human,1
13,62,47,23,68,10,smooth,59,9,human,9
14,66,50,23,68,10,smooth,59,10,human,1
26,25,21,15,62,5,smooth,59,0,human,-1
4,86,58,15,62,5,smooth,59,1,human,22
5,102,68,15,62,5,smooth,59,2,human,1
6,98,66,15,62,5,smooth,59,3,human,1
7,80,55,15,62,5,smooth,59,4,human,1
3,71,49,15,62,5,smooth,59,5,human,4
13,35,26,24,60,10,smooth,59,0,human,-1
2,7,9,24,60,10,smooth,59,1,human,11
27,57,39,24,60,10,smooth,59,2,human,25
20,75,50,24,60,10,smooth,59,3,human,7
21,72,48,24,60,10,smooth,59,4,human,1
19,72,48,24,60,10,smooth,59,5,human,2
18,64,43,24,60,10,smooth,59,6,human,1
22,68,46,24,60,10,smooth,59,7,human,4
17,55,38,24,60,10,smooth,59,8,human,5
23,63,43,24,60,10,smooth,59,9,human,6
24,59,40,24,60,10,smooth,59,10,human,1
11,98,82,22,79,5,smooth,59,0,human,-1
12,79,67,22,79,5,smooth,59,1,human,1
10,96,81,22,79,5,smooth,59,2,human,2
9,93,78,22,79,5,smooth,59,3,human,1
8,77,66,22,79,5,smooth,59,4,human,1
7,41,37,22,79,5,smooth,59,5,human,1
6,38,33,10,73,10,smooth,59,0,human,-1
19,67,54,10,73,10,smooth,59,1,human,13
20,28,25,10,73,10,smooth,59,2,human,1
18,92,72,10,73,10,smooth,59,3,human,2
17,100,78,10,73,10,smooth,59,4,human,1
16,92,72,10,73,10,smooth,59,5,human,1
15,68,55,10,73,10,smooth,59,6,human,1
14,40,34,10,73,10,smooth,59,7,human,1
26,47,39,10,73,10,smooth,59,8,human,12
25,55,45,10,73,10,smooth,59,9,human,1
27,37,32,10,73,10,smooth,59,10,human,2
17,42,31,8,62,5,smooth,59,0,human,-1
3,23,19,8,62,5,smooth,59,1,human,14
27,32,25,8,62,5,smooth,59,2,human,24
23,46,34,8,62,5,smooth,59,3,human,4
24,50,36,8,62,5,smooth,59,4,human,1
25,45,33,8,62,5,smooth,59,5,human,1
4,19,18,3,71,10,smooth,59,0,human,-1
29,31,27,3,71,10,smooth,59,1,human,25
21,19,18,3,71,10,smooth,59,2,human,8
14,70,55,3,71,10,smooth,59,3,human,7
15,30,26,3,71,10,smooth,59,4,human,1
13,99,75,3,71,10,smooth,59,5,human,2
12,99,75,3,71,10,smooth,59,6,human,1
11,78,60,3,71,10,smooth,59,7,human,1
10,58,46,3,71,10,smooth,59,8,human,1
9,50,41,3,71,10,smooth,59,9,human,1
18,36,31,3,71,10,smooth,59,10,human,9
18,86,62,35,66,5,smooth,59,0,human,-1
19,97,69,35,66,5,smooth,59,1,human,1
20,99,70,35,66,5,smooth,59,2,human,1
21,90,64,35,66,5,smooth,59,3,human,1
22,74,54,35,66,5,smooth,59,4,human,1
17,75,55,35,66,5,smooth,59,5,human,5
14,69,50,37,65,10,smooth,59,0,human,-1
13,62,45,37,65,10,smooth,59,1,human,1
15,70,51,37,65,10,smooth,59,2,human,2
16,75,54,37,65,10,smooth,59,3,human,1
17,85,60,37,65,10,smooth,59,4,human,1
18,87,62,37,65,10,smooth,59,5,human,1
19,82,58,37,65,10,smooth,59,6,human,1
20,77,55,37,65,10,smooth,59,7,human,1
21,76,54,37,65,10,smooth,59,8,human,1
22,73,52,37,65,10,smooth,59,9,human,1
