,agent,id,environment,t,horizons,z
212,gpt,212,rough,0.0,10,64.14231096725489
213,gpt,213,rough,0.2,10,46.92175564503864
214,gpt,214,rough,0.4,10,63.65437201820304
215,gpt,215,rough,0.0,10,59.20502279323084
216,gpt,216,rough,0.2,10,66.05497562124417
217,gpt,217,rough,0.4,10,53.48091561415699
218,gpt,218,rough,0.4,10,27.26581429600891
219,gpt,219,rough,0.0,10,53.9184900073374
220,gpt,220,smooth,1.0,5,45.430197214071406
221,gpt,221,smooth,1.0,10,71.23349436068803
222,gpt,222,smooth,1.0,10,73.32303107762687
223,gpt,223,rough,1.0,10,45.671661937678415
224,gpt,224,rough,1.0,5,53.43467879543932
225,gpt,225,smooth,1.0,5,30.7246605842609
226,gpt,226,rough,1.0,5,59.4175694208137
227,gpt,227,rough,1.0,10,52.520237406693354
228,gpt,228,rough,0.0,10,76.02521186210136
229,gpt,229,smooth,1.0,10,74.68169101037891
230,gpt,230,smooth,1.0,5,39.6627768408946
231,gpt,231,smooth,1.0,10,57.050013787598886
232,gpt,232,smooth,1.0,5,46.45946351688105
233,gpt,233,smooth,1.0,5,38.722035473542356
234,gpt,234,smooth,1.0,10,50.733489435689606
235,gpt,235,smooth,1.0,5,33.09345344347007
236,gpt,236,smooth,1.0,10,72.34752296763024
237,gpt,237,rough,0.2,5,44.21210720672207
238,gpt,238,rough,0.4,5,41.23540608403635
239,gpt,239,rough,0.2,10,51.01602850111342
240,gpt,240,rough,0.6,5,78.33652873203279
241,gpt,241,rough,0.8,5,57.278040364537276
242,gpt,242,rough,0.0,5,78.35011032511267
243,gpt,243,rough,0.2,5,41.20777443902719
244,gpt,244,rough,0.4,5,60.68832998996435
245,gpt,245,rough,0.6,5,69.77580670499432
246,gpt,246,rough,0.8,5,78.05542167727278
247,gpt,247,rough,0.0,5,57.30707307711432
248,gpt,248,rough,0.2,5,60.39510842121198
249,gpt,249,rough,0.4,5,53.170755342961115
250,gpt,250,rough,0.4,10,55.09477176168868
251,gpt,251,rough,0.6,5,51.75192449074325
252,gpt,252,rough,0.8,5,61.85162791489271
253,gpt,253,rough,0.0,5,84.83322909235842
