,agent,id,environment,t,z
351,per_gpt,351,smooth,0.0,71.83624823148051
352,per_gpt,352,rough,1.0,46.26637282437122
353,per_gpt,353,smooth,0.2,69.83944881840422
354,per_gpt,354,smooth,0.4,54.059796645906346
355,per_gpt,355,smooth,0.6,66.18971317936656
356,per_gpt,356,smooth,0.0,78.84297801919298
357,per_gpt,357,rough,1.0,76.45195941297925
358,per_gpt,358,smooth,0.2,41.82000341543961
359,per_gpt,359,smooth,0.4,24.44323281872356
360,per_gpt,360,smooth,0.6,52.418062376288326
361,per_gpt,361,smooth,0.0,39.42768460505146
362,per_gpt,362,smooth,0.2,43.41125566775955
363,per_gpt,363,smooth,0.4,51.64429484744344
364,per_gpt,364,smooth,0.6,36.71774424771533
365,per_gpt,365,smooth,0.0,46.97930487511571
366,per_gpt,366,rough,1.0,64.20832759372195
367,per_gpt,367,smooth,0.2,48.42748254671835
368,per_gpt,368,smooth,0.4,42.64261576765198
369,per_gpt,369,smooth,0.6,37.20911473032961
370,per_gpt,370,smooth,0.0,75.24308545329832
371,per_gpt,371,rough,1.0,56.149338067281626
372,per_gpt,372,smooth,0.2,79.62616826726105
373,per_gpt,373,smooth,0.4,54.992202781106904
374,per_gpt,374,smooth,0.6,33.91560285004484
375,per_gpt,375,smooth,0.0,57.42483104271479
376,per_gpt,376,smooth,0.2,51.147121094672165
377,per_gpt,377,smooth,0.4,31.398127654613187
378,per_gpt,378,smooth,0.6,31.278117902465706
379,per_gpt,379,smooth,0.8,35.1875651059261
380,per_gpt,380,smooth,0.0,43.500422661894234
381,per_gpt,381,smooth,1.0,76.96923811447772
382,per_gpt,382,smooth,0.2,68.21100580160518
383,per_gpt,383,smooth,0.4,37.66635296899467
384,per_gpt,384,smooth,0.6,73.0893350847789
385,per_gpt,385,smooth,0.0,43.52744199952674
386,per_gpt,386,rough,1.0,44.39806802229401
387,per_gpt,387,smooth,0.2,73.89733141231169
388,per_gpt,388,smooth,0.4,21.458564191285536
389,per_gpt,389,smooth,0.6,77.35728493875233
390,per_gpt,390,smooth,0.0,51.20490958747243
391,per_gpt,391,smooth,0.2,71.47637496019776
392,per_gpt,392,smooth,0.4,68.67894464985334
393,per_gpt,393,smooth,0.6,51.153708519397924
394,per_gpt,394,smooth,0.0,76.39550772153906
395,per_gpt,395,rough,1.0,75.48746983200117
396,per_gpt,396,smooth,0.2,59.3646649892524
397,per_gpt,397,smooth,0.4,59.45806608940507
398,per_gpt,398,smooth,0.6,63.70883210457182
399,per_gpt,399,smooth,0.0,34.45795844595784
400,per_gpt,400,rough,1.0,79.77567156190128
401,per_gpt,401,smooth,0.2,44.22743625530524
402,per_gpt,402,smooth,0.4,66.8355861220906
403,per_gpt,403,smooth,0.6,27.6237100144073
404,per_gpt,404,smooth,0.0,55.47070500060247
405,per_gpt,405,rough,1.0,52.44975225186787
406,per_gpt,406,smooth,0.2,32.9664551453148
407,per_gpt,407,smooth,0.4,26.22217403410183
408,per_gpt,408,smooth,0.6,66.87841688024595
409,per_gpt,409,smooth,0.0,49.42964447768643
410,per_gpt,410,smooth,1.0,58.75930726928382
411,per_gpt,411,smooth,0.2,66.45160809803791
412,per_gpt,412,smooth,0.4,80.54890675048061
413,per_gpt,413,smooth,0.6,41.86694137802082
