,AIC,BIC,Model,id,horizons,environment,t
360,62.56898499444254,62.87157008743658,WSLS,461,10,smooth,0.8
361,47.11753659503393,47.420121688027976,WSLS,461,10,smooth,0.0
362,18.975847309384076,18.585285221818175,WSLS,461,5,smooth,0.2
363,34.51916952514162,34.128607437575724,WSLS,461,5,smooth,0.4
364,34.519169526089605,34.12860743852371,WSLS,461,5,smooth,0.6
365,24.55876836939887,24.16820628183297,WSLS,461,5,smooth,0.8
366,34.51916952499098,34.12860743742508,WSLS,461,5,smooth,0.0
367,24.558768315335602,24.1682062277697,WSLS,461,5,smooth,0.2
368,34.51916953177835,34.128607444212456,WSLS,461,5,smooth,0.4
369,29.824896477379838,29.434334389813937,WSLS,461,5,smooth,0.6
370,24.55876829534895,24.16820620778305,WSLS,461,5,smooth,0.8
371,24.558768296597318,24.168206209031418,WSLS,461,5,smooth,0.0
372,24.55876829607891,24.16820620851301,WSLS,461,5,smooth,0.2
373,18.975847309520212,18.58528522195431,WSLS,461,5,smooth,0.4
374,24.558768307505204,24.168206219939304,WSLS,461,5,smooth,0.6
375,36.04530906361006,35.654746976044166,WSLS,461,5,smooth,0.8
376,28.724094819707506,28.333532732141606,WSLS,461,5,smooth,0.0
377,29.82489646065272,29.43433437308682,WSLS,461,5,smooth,0.2
378,34.51916952555,34.1286074379841,WSLS,461,5,smooth,0.4
379,29.824896463685114,29.434334376119214,WSLS,461,5,smooth,0.6
380,29.824896460899012,29.43433437333311,WSLS,461,5,smooth,0.8
381,29.824896479758824,29.434334392192923,WSLS,461,5,smooth,0.0
382,18.975847314397715,18.585285226831814,WSLS,461,5,smooth,0.2
383,34.5191695254097,34.128607437843804,WSLS,461,5,smooth,0.4
384,34.51916952470688,34.128607437140985,WSLS,461,5,smooth,0.6
385,34.5191695275881,34.1286074400222,WSLS,461,5,smooth,0.8
386,29.82489646595424,29.43433437838834,WSLS,461,5,smooth,0.0
387,24.558768301001415,24.168206213435514,WSLS,461,5,smooth,0.2
388,36.0453090636101,35.6547469760442,WSLS,461,5,smooth,0.4
389,29.824896469927392,29.43433438236149,WSLS,461,5,smooth,0.6
390,29.824896461627652,29.434334374061752,WSLS,461,5,smooth,0.8
391,34.51916952833288,34.128607440766984,WSLS,461,5,smooth,0.0
392,24.558768336282576,24.168206248716675,WSLS,461,5,smooth,0.2
393,24.55876829522067,24.16820620765477,WSLS,461,5,smooth,0.4
394,29.82489646986223,29.43433438229633,WSLS,461,5,smooth,0.6
395,24.558768295923254,24.168206208357354,WSLS,461,5,smooth,0.8
396,29.824896467518613,29.434334379952713,WSLS,461,5,smooth,0.0
397,36.04530906361012,35.65474697604422,WSLS,461,5,smooth,0.2
398,18.975847334995763,18.585285247429862,WSLS,461,5,smooth,0.4
399,36.04530906361007,35.65474697604417,WSLS,461,5,smooth,0.6
400,34.51916952731991,34.12860743975401,WSLS,461,5,smooth,0.8
401,36.045309063610105,35.65474697604421,WSLS,461,5,smooth,0.0
402,33.17074440511695,32.780182317551045,WSLS,461,5,smooth,0.2
403,12.986122886681098,12.595560799115198,WSLS,461,5,smooth,0.4
404,29.82489646944458,29.43433438187868,WSLS,461,5,smooth,0.6
405,29.824896462354808,29.434334374788907,WSLS,461,5,smooth,0.8
406,24.55876829524059,24.16820620767469,WSLS,461,5,smooth,0.0
407,24.55876829677623,24.16820620921033,WSLS,461,5,smooth,0.2
408,29.824896462972617,29.434334375406717,WSLS,461,5,smooth,0.4
409,18.975847312733908,18.585285225168008,WSLS,461,5,smooth,0.6
410,29.824896460950352,29.434334373384452,WSLS,461,5,smooth,0.8
411,24.558768342420063,24.168206254854162,WSLS,461,5,smooth,0.0
412,29.82489646926712,29.43433438170122,WSLS,461,5,smooth,0.2
413,24.55876831006314,24.16820622249724,WSLS,461,5,smooth,0.4
414,24.55876829993798,24.16820621237208,WSLS,461,5,smooth,0.6
415,29.82489646722405,29.43433437965815,WSLS,461,5,smooth,0.8
416,34.519169525351494,34.1286074377856,WSLS,461,5,smooth,0.0
417,34.519169524747056,34.12860743718116,WSLS,461,5,smooth,0.2
418,34.51916952529424,34.12860743772834,WSLS,461,5,smooth,0.4
419,18.975847325559926,18.585285237994025,WSLS,461,5,smooth,0.6
