,AIC,BIC,Learning,Sampling,id,horizons,environment
460,41.941951743400786,42.84970702238292,GP,Exploit,20,10,smooth
461,35.16611515832135,33.99442889562365,GP,Exploit,21,5,smooth
462,49.24096737042287,50.14872264940501,GP,Exploit,24,10,smooth
463,30.995429684208005,29.823743421510308,GP,Exploit,25,5,smooth
464,36.85033740143439,35.67865113873669,GP,Exploit,27,5,smooth
465,38.23059938773597,39.13835466671811,GP,Exploit,28,10,smooth
466,24.64188982618804,23.470203563490344,GP,Exploit,29,5,smooth
467,59.79030461837523,60.69805989735737,GP,Exploit,2,10,smooth
468,67.37783480698549,68.28559008596763,GP,Exploit,30,10,smooth
469,39.95585623973626,38.784169977038566,GP,Exploit,31,5,smooth
470,28.444711237157843,27.273024974460142,GP,Exploit,32,5,rough
471,23.117904102997617,21.946217840299916,GP,Exploit,33,5,smooth
472,12.802394763324312,11.63070850062661,GP,Exploit,34,5,smooth
473,31.85999598113967,30.68830971844197,GP,Exploit,35,5,smooth
474,37.11214581603927,35.940459553341576,GP,Exploit,36,5,rough
475,72.02818058027792,72.93593585926006,GP,Exploit,37,10,smooth
476,31.662224241255917,30.490537978558216,GP,Exploit,38,5,smooth
477,35.94831038881555,34.77662412611785,GP,Exploit,39,5,rough
478,88.3229267672601,89.23068204624224,GP,Exploit,3,10,rough
479,37.09468734610376,35.923001083406064,GP,Exploit,40,5,smooth
480,34.76651250530792,33.594826242610225,GP,Exploit,41,5,rough
481,57.41133562963739,58.31909090861953,GP,Exploit,42,10,rough
482,72.3754176754395,73.28317295442163,GP,Exploit,43,10,smooth
483,30.969601619872098,29.797915357174396,GP,Exploit,44,5,rough
484,50.49413095413868,51.40188623312082,GP,Exploit,45,10,smooth
485,60.617047900238134,61.52480317922027,GP,Exploit,46,10,rough
486,82.84346788679842,83.75122316578056,GP,Exploit,47,10,smooth
487,58.96088282972654,59.86863810870868,GP,Exploit,48,10,rough
488,50.71779399237862,51.625549271360754,GP,Exploit,49,10,smooth
489,67.0541175559556,67.96187283493774,GP,Exploit,4,10,smooth
490,70.97392529138243,71.88168057036457,GP,Exploit,50,10,rough
491,38.394259699653304,37.22257343695561,GP,Exploit,51,5,smooth
492,70.80975117188743,71.71750645086956,GP,Exploit,52,10,rough
493,25.521514215803386,24.349827953105688,GP,Exploit,53,5,rough
494,54.31738364370165,55.22513892268379,GP,Exploit,54,10,rough
495,35.71743828047493,34.54575201777723,GP,Exploit,55,5,rough
496,31.545024585145054,30.373338322447353,GP,Exploit,56,5,rough
497,62.49694619648785,63.404701475469984,GP,Exploit,57,10,rough
498,74.28710876509082,75.19486404407296,GP,Exploit,58,10,rough
499,30.22725528899613,29.05556902629843,GP,Exploit,59,5,rough
500,38.650048624397414,37.478362361699716,GP,Exploit,5,5,smooth
501,25.07030406503161,23.89861780233391,GP,Exploit,60,5,rough
502,12.802394763324312,11.63070850062661,GP,Exploit,63,5,rough
503,35.38117618431038,34.20948992161267,GP,Exploit,64,5,rough
504,26.55281437935504,25.381128116657344,GP,Exploit,65,5,rough
505,37.39222898635953,36.22054272366183,GP,Exploit,67,5,rough
506,44.571674880825455,43.39998861812776,GP,Exploit,68,5,rough
507,56.47736163829149,57.38511691727363,GP,Exploit,6,10,smooth
508,37.20401029692813,36.032324034230435,GP,Exploit,70,5,rough
509,32.99347672467887,31.821790461981173,GP,Exploit,72,5,rough
510,12.802394763324312,11.63070850062661,GP,Exploit,73,5,rough
511,35.51418152241263,34.34249525971493,GP,Exploit,74,5,rough
512,59.93390965436316,60.8416649333453,GP,Exploit,75,10,smooth
513,44.54490598068678,45.452661259668915,GP,Exploit,76,10,smooth
514,76.63815669754173,77.54591197652387,GP,Exploit,77,10,smooth
515,68.00074194302272,68.90849722200485,GP,Exploit,78,10,smooth
516,36.11442448169029,37.02217976067243,GP,Exploit,79,10,smooth
517,69.23763532229437,70.1453906012765,GP,Exploit,7,10,smooth
518,55.63315587644132,56.54091115542346,GP,Exploit,80,10,smooth
519,42.704072336536456,43.61182761551859,GP,Exploit,81,10,smooth
520,46.96749424475745,47.87524952373958,GP,Exploit,82,10,smooth
521,49.50793915993676,50.4156944389189,GP,Exploit,83,10,smooth
522,43.50519719776413,44.41295247674627,GP,Exploit,84,10,smooth
523,61.686340563085075,62.59409584206721,GP,Exploit,85,10,smooth
524,32.500574051958274,33.40832933094041,GP,Exploit,86,10,smooth
525,68.70331569368096,69.6110709726631,GP,Exploit,87,10,smooth
526,58.38284229416483,59.29059757314697,GP,Exploit,88,10,smooth
527,46.177374517486946,47.08512979646908,GP,Exploit,89,10,smooth
528,82.98625867080631,83.89401394978844,GP,Exploit,8,10,smooth
529,28.961283457328904,29.86903873631104,GP,Exploit,9,10,smooth
530,10.73459165997295,9.953467484841148,GP,EXI,0,5,smooth
531,73.54101158015092,74.14618176613901,GP,EXI,10,10,rough
532,23.051883058506135,22.270758883374334,GP,EXI,11,5,smooth
533,71.95015917482263,72.55532936081072,GP,EXI,13,10,smooth
534,71.16457059038851,71.7697407763766,GP,EXI,14,10,smooth
535,69.56107095731973,70.16624114330781,GP,EXI,15,10,rough
536,35.99730393672485,35.21617976159305,GP,EXI,16,5,rough
537,38.073686918235744,37.29256274310394,GP,EXI,17,5,smooth
538,37.42353643192972,36.64241225679792,GP,EXI,19,5,rough
539,72.1162677367451,72.72143792273319,GP,EXI,1,10,rough
540,72.00076360538132,72.60593379136941,GP,EXI,20,10,smooth
541,38.195743188316236,37.414619013184435,GP,EXI,21,5,smooth
542,73.2485544438553,73.85372462984338,GP,EXI,24,10,smooth
543,38.03632887579784,37.25520470066604,GP,EXI,25,5,smooth
544,37.995696787989246,37.214572612857445,GP,EXI,27,5,smooth
545,73.30754988989948,73.91272007588756,GP,EXI,28,10,smooth
546,19.862744305858683,19.081620130726883,GP,EXI,29,5,smooth
547,73.29237213974395,73.89754232573203,GP,EXI,2,10,smooth
548,72.17273785126176,72.77790803724984,GP,EXI,30,10,smooth
549,37.73753564893651,36.95641147380471,GP,EXI,31,5,smooth
550,32.325400683635706,31.544276508503902,GP,EXI,32,5,rough
551,10.73459165997295,9.953467484841148,GP,EXI,33,5,smooth
552,10.734592485315218,9.95346831018342,GP,EXI,34,5,smooth
553,37.655268744695164,36.87414456956336,GP,EXI,35,5,smooth
554,28.699579232593265,27.918455057461465,GP,EXI,36,5,rough
555,63.99606122532216,64.60123141131025,GP,EXI,37,10,smooth
556,28.586032161609456,27.804907986477655,GP,EXI,38,5,smooth
557,17.517572200374058,16.736448025242257,GP,EXI,39,5,rough
558,71.84761325951352,72.45278344550161,GP,EXI,3,10,rough
559,38.073319238472834,37.29219506334103,GP,EXI,40,5,smooth
560,38.28298085145026,37.50185667631846,GP,EXI,41,5,rough
561,72.52738020626035,73.13255039224843,GP,EXI,42,10,rough
562,72.07625295827253,72.68142314426062,GP,EXI,43,10,smooth
563,35.91695052932336,35.13582635419156,GP,EXI,44,5,rough
564,71.84123694347035,72.44640712945844,GP,EXI,45,10,smooth
565,64.65316052842672,65.25833071441481,GP,EXI,46,10,rough
566,67.83430955993703,68.43947974592511,GP,EXI,47,10,smooth
567,73.14344066884175,73.74861085482983,GP,EXI,48,10,rough
568,72.3280725298151,72.93324271580319,GP,EXI,49,10,smooth
569,69.20402927865868,69.80919946464677,GP,EXI,4,10,smooth
570,65.92148142934485,66.52665161533294,GP,EXI,50,10,rough
571,38.05841567803662,37.277291502904816,GP,EXI,51,5,smooth
572,72.10923684900223,72.71440703499032,GP,EXI,52,10,rough
573,10.734591765300452,9.953467590168653,GP,EXI,53,5,rough
574,72.18304192457309,72.78821211056118,GP,EXI,54,10,rough
575,37.6708607782511,36.889736603119296,GP,EXI,55,5,rough
576,19.122398106160322,18.34127393102852,GP,EXI,56,5,rough
577,63.49512432612279,64.10029451211088,GP,EXI,57,10,rough
578,68.56406502167636,69.16923520766444,GP,EXI,58,10,rough
579,34.71758492525071,33.93646075011891,GP,EXI,59,5,rough
580,25.44409197726779,24.662967802135988,GP,EXI,5,5,smooth
581,37.24587436730284,36.46475019217104,GP,EXI,60,5,rough
582,21.959238734563066,21.178114559431265,GP,EXI,63,5,rough
583,36.31004167972375,35.52891750459195,GP,EXI,64,5,rough
584,37.828448115896755,37.047323940764954,GP,EXI,65,5,rough
585,34.815933406076816,34.034809230945015,GP,EXI,67,5,rough
586,36.94461913811138,36.16349496297958,GP,EXI,68,5,rough
587,68.71570757118513,69.32087775717322,GP,EXI,6,10,smooth
588,37.471307818945554,36.690183643813754,GP,EXI,70,5,rough
589,36.40093675012609,35.61981257499429,GP,EXI,72,5,rough
590,34.69229469672729,33.91117052159549,GP,EXI,73,5,rough
591,30.8439475459329,30.062823370801098,GP,EXI,74,5,rough
592,72.79814204466958,73.40331223065766,GP,EXI,75,10,smooth
593,50.2927572661106,50.89792745209869,GP,EXI,76,10,smooth
594,67.83430955993703,68.43947974592511,GP,EXI,77,10,smooth
595,72.14546964044145,72.75063982642953,GP,EXI,78,10,smooth
596,20.51270094239163,21.11787112837972,GP,EXI,79,10,smooth
597,72.58050269603766,73.18567288202574,GP,EXI,7,10,smooth
598,60.8092957676234,61.41446595361149,GP,EXI,80,10,smooth
599,55.1963392289858,55.80150941497389,GP,EXI,81,10,smooth
600,71.52173177089968,72.12690195688776,GP,EXI,82,10,smooth
601,62.994915266059685,63.60008545204778,GP,EXI,83,10,smooth
602,63.36850991388427,63.97368009987236,GP,EXI,84,10,smooth
603,52.43130816596251,53.036478351950606,GP,EXI,85,10,smooth
604,41.91749208595359,42.522662271941684,GP,EXI,86,10,smooth
605,72.6260252121269,73.23119539811499,GP,EXI,87,10,smooth
606,67.69421852373,68.2993887097181,GP,EXI,88,10,smooth
607,43.21830366575703,43.82347385174512,GP,EXI,89,10,smooth
608,67.83430955993703,68.43947974592511,GP,EXI,8,10,smooth
609,61.933803206341146,62.53897339232924,GP,EXI,9,10,smooth
610,21.662453486729895,20.881329311598094,GP,POI,0,5,smooth
611,68.02290761102974,68.62807779701782,GP,POI,10,10,rough
612,34.560287611730466,33.779163436598665,GP,POI,11,5,smooth
613,55.277553861269105,55.8827240472572,GP,POI,13,10,smooth
614,69.78075612676582,70.38592631275391,GP,POI,14,10,smooth
615,60.97769431980844,61.582864505796536,GP,POI,15,10,rough
616,37.182623871377,36.401499696245196,GP,POI,16,5,rough
617,33.23209172385965,32.450967548727846,GP,POI,17,5,smooth
618,32.29987099821749,31.518746823085692,GP,POI,19,5,rough
619,65.81734114138152,66.4225113273696,GP,POI,1,10,rough
620,55.194826172152084,55.79999635814018,GP,POI,20,10,smooth
621,32.259257037768165,31.478132862636368,GP,POI,21,5,smooth
622,61.118151409342595,61.72332159533069,GP,POI,24,10,smooth
623,34.96909140028595,34.187967225154146,GP,POI,25,5,smooth
624,37.446034420723066,36.664910245591265,GP,POI,27,5,smooth
625,64.91678114180897,65.52195132779707,GP,POI,28,10,smooth
626,23.773189701910752,22.99206552677895,GP,POI,29,5,smooth
627,69.08712003915527,69.69229022514335,GP,POI,2,10,smooth
628,71.3550741189043,71.96024430489238,GP,POI,30,10,smooth
629,33.44354701632447,32.66242284119268,GP,POI,31,5,smooth
630,27.690830618490708,26.909706443358907,GP,POI,32,5,rough
631,22.20209589991158,21.42097172477978,GP,POI,33,5,smooth
632,10.802394763324312,10.021270588192511,GP,POI,34,5,smooth
633,32.552327910364745,31.771203735232945,GP,POI,35,5,smooth
634,31.90943775234883,31.12831357721703,GP,POI,36,5,rough
635,62.24666201899525,62.851832204983346,GP,POI,37,10,smooth
636,31.683811372587545,30.902687197455744,GP,POI,38,5,smooth
637,31.275827950513907,30.494703775382106,GP,POI,39,5,rough
638,71.96581316447771,72.5709833504658,GP,POI,3,10,rough
639,32.85109596038258,32.06997178525078,GP,POI,40,5,smooth
640,36.31931730971818,35.53819313458638,GP,POI,41,5,rough
641,54.64490900096791,55.250079186956,GP,POI,42,10,rough
642,70.76084926532042,71.3660194513085,GP,POI,43,10,smooth
643,30.410950091801126,29.629825916669326,GP,POI,44,5,rough
644,63.477841564606344,64.08301175059444,GP,POI,45,10,smooth
645,65.41403183261664,66.01920201860473,GP,POI,46,10,rough
646,72.03155080292697,72.63672098891506,GP,POI,47,10,smooth
647,72.04096903161283,72.64613921760092,GP,POI,48,10,rough
648,62.71222720108318,63.317397387071274,GP,POI,49,10,smooth
649,68.71562579380446,69.32079597979255,GP,POI,4,10,smooth
650,65.85512268348995,66.46029286947804,GP,POI,50,10,rough
651,37.817882161681425,37.036757986549624,GP,POI,51,5,smooth
652,67.31356779672124,67.91873798270933,GP,POI,52,10,rough
653,27.625206727868843,26.844082552737042,GP,POI,53,5,rough
654,59.85016415630769,60.455334342295785,GP,POI,54,10,rough
655,34.34823918916923,33.56711501403743,GP,POI,55,5,rough
656,31.30337683773945,30.52225266260765,GP,POI,56,5,rough
657,60.482814257321465,61.08798444330956,GP,POI,57,10,rough
658,65.86790432310744,66.47307450909553,GP,POI,58,10,rough
659,32.76694458119,31.985820406058203,GP,POI,59,5,rough
660,32.448234284159966,31.667110109028165,GP,POI,5,5,smooth
661,31.975928030002024,31.194803854870223,GP,POI,60,5,rough
662,10.802394763324312,10.021270588192511,GP,POI,63,5,rough
663,30.158970669896895,29.377846494765095,GP,POI,64,5,rough
664,32.97173284446433,32.190608669332526,GP,POI,65,5,rough
665,37.0651290708638,36.284004895732,GP,POI,67,5,rough
666,37.85131670394261,37.07019252881081,GP,POI,68,5,rough
667,62.26309880974658,62.868268995734674,GP,POI,6,10,smooth
668,37.55863384101803,36.77750966588623,GP,POI,70,5,rough
669,30.591332987623776,29.810208812491975,GP,POI,72,5,rough
670,10.802394763324312,10.021270588192511,GP,POI,73,5,rough
671,22.96383982345849,22.18271564832669,GP,POI,74,5,rough
672,64.9105673154541,65.51573750144219,GP,POI,75,10,smooth
673,56.284285140556776,56.88945532654487,GP,POI,76,10,smooth
674,71.96784914225316,72.57301932824124,GP,POI,77,10,smooth
675,64.47137974124755,65.07654992723563,GP,POI,78,10,smooth
676,42.884287878681015,43.48945806466911,GP,POI,79,10,smooth
677,71.05199144337905,71.65716162936714,GP,POI,7,10,smooth
678,60.643569329798964,61.24873951578706,GP,POI,80,10,smooth
679,50.19195241287591,50.797122598864,GP,POI,81,10,smooth
680,47.902772835299565,48.50794302128766,GP,POI,82,10,smooth
681,58.663884045181504,59.2690542311696,GP,POI,83,10,smooth
682,54.1121581222811,54.717328308269195,GP,POI,84,10,smooth
683,57.029091742027354,57.63426192801545,GP,POI,85,10,smooth
684,35.890677838063965,36.49584802405206,GP,POI,86,10,smooth
685,71.52880458709264,72.13397477308072,GP,POI,87,10,smooth
686,66.05346497060118,66.65863515658927,GP,POI,88,10,smooth
687,50.273581515392415,50.87875170138051,GP,POI,89,10,smooth
688,70.41575251808742,71.0209227040755,GP,POI,8,10,smooth
689,40.505087624262835,41.11025781025093,GP,POI,9,10,smooth
690,38.94461913811138,37.77293287541368,OL,UCB,0,5,smooth
691,72.90225659673659,73.81001187571873,OL,UCB,10,10,rough
692,38.94461913811138,37.77293287541368,OL,UCB,11,5,smooth
693,60.0352441281273,60.94299940710944,OL,UCB,13,10,smooth
694,71.89827003034812,72.80602530933025,OL,UCB,14,10,smooth
695,61.28123559382873,62.18899087281087,OL,UCB,15,10,rough
696,38.94461913811138,37.77293287541368,OL,UCB,16,5,rough
697,39.9899863045533,38.8183000418556,OL,UCB,17,5,smooth
698,33.54340136884315,32.37171510614545,OL,UCB,19,5,rough
699,68.756181445088,69.66393672407014,OL,UCB,1,10,rough
700,60.44708177029904,61.35483704928118,OL,UCB,20,10,smooth
701,36.892131597898654,35.72044533520095,OL,UCB,21,5,smooth
702,52.31593538716496,53.2236906661471,OL,UCB,24,10,smooth
703,37.361923007195095,36.1902367444974,OL,UCB,25,5,smooth
704,39.82483561148821,38.653149348790514,OL,UCB,27,5,smooth
705,43.947092788211535,44.85484806719367,OL,UCB,28,10,smooth
706,38.94461913811138,37.77293287541368,OL,UCB,29,5,smooth
707,62.332056054540004,63.23981133352214,OL,UCB,2,10,smooth
708,65.6073034413109,66.51505872029304,OL,UCB,30,10,smooth
709,39.526989100307055,38.35530283760936,OL,UCB,31,5,smooth
710,35.240427777456425,34.06874151475873,OL,UCB,32,5,rough
711,38.94461913811138,37.77293287541368,OL,UCB,33,5,smooth
712,38.94461913811138,37.77293287541368,OL,UCB,34,5,smooth
713,34.81543265984626,33.64374639714856,OL,UCB,35,5,smooth
714,38.94461913811138,37.77293287541368,OL,UCB,36,5,rough
715,69.83430955993703,70.74206483891916,OL,UCB,37,10,smooth
716,38.94461913811138,37.77293287541368,OL,UCB,38,5,smooth
717,38.94461913811138,37.77293287541368,OL,UCB,39,5,rough
718,72.49985569402996,73.4076109730121,OL,UCB,3,10,rough
719,36.25968393544459,35.087997672746894,OL,UCB,40,5,smooth
720,40.012093206960735,38.84040694426304,OL,UCB,41,5,rough
721,57.58780933144672,58.49556461042886,OL,UCB,42,10,rough
722,70.28963842971903,71.19739370870117,OL,UCB,43,10,smooth
723,36.89213159789631,35.72044533519861,OL,UCB,44,5,rough
724,60.34461381470324,61.252369093685374,OL,UCB,45,10,smooth
725,70.00512550419813,70.91288078318027,OL,UCB,46,10,rough
726,69.83430955993703,70.74206483891916,OL,UCB,47,10,smooth
727,63.88897590826792,64.79673118725006,OL,UCB,48,10,rough
728,54.27122033345967,55.1789756124418,OL,UCB,49,10,smooth
729,69.97239330232834,70.88014858131048,OL,UCB,4,10,smooth
730,71.76187280174742,72.66962808072955,OL,UCB,50,10,rough
731,39.17092634899685,37.99924008629915,OL,UCB,51,5,smooth
732,66.93139791131509,67.83915319029722,OL,UCB,52,10,rough
733,38.94461913811138,37.77293287541368,OL,UCB,53,5,rough
734,52.618356883408225,53.52611216239036,OL,UCB,54,10,rough
735,37.36192300693804,36.190236744240345,OL,UCB,55,5,rough
736,38.94461913811138,37.77293287541368,OL,UCB,56,5,rough
737,74.02423626036516,74.9319915393473,OL,UCB,57,10,rough
738,71.13555321188917,72.04330849087131,OL,UCB,58,10,rough
739,35.76700596561478,34.59531970291708,OL,UCB,59,5,rough
740,38.94461913811138,37.77293287541368,OL,UCB,5,5,smooth
741,33.5720217095496,32.400335446851905,OL,UCB,60,5,rough
742,35.240427777452794,34.0687415147551,OL,UCB,63,5,rough
743,35.2404277830811,34.068741520383405,OL,UCB,64,5,rough
744,33.96205262498346,32.79036636228576,OL,UCB,65,5,rough
745,38.73830718441984,37.56662092172214,OL,UCB,67,5,rough
746,38.94461913811138,37.77293287541368,OL,UCB,68,5,rough
747,62.59381280182558,63.501568080807715,OL,UCB,6,10,smooth
748,39.284347912942025,38.11266165024433,OL,UCB,70,5,rough
749,33.603099756520734,32.43141349382304,OL,UCB,72,5,rough
750,28.81046038894771,27.638774126250013,OL,UCB,73,5,rough
751,37.36192300771608,36.19023674501838,OL,UCB,74,5,rough
752,68.28430168248342,69.19205696146555,OL,UCB,75,10,smooth
753,68.62212091759946,69.52987619658161,OL,UCB,76,10,smooth
754,69.83430955993703,70.74206483891916,OL,UCB,77,10,smooth
755,74.02441255945064,74.93216783843278,OL,UCB,78,10,smooth
756,69.83430955993703,70.74206483891916,OL,UCB,79,10,smooth
757,69.1103953911964,70.01815067017854,OL,UCB,7,10,smooth
758,73.68341349954467,74.59116877852681,OL,UCB,80,10,smooth
759,67.33846681069849,68.24622208968064,OL,UCB,81,10,smooth
760,55.349098102358504,56.25685338134064,OL,UCB,82,10,smooth
761,73.64889110136754,74.55664638034968,OL,UCB,83,10,smooth
762,72.16867012980417,73.0764254087863,OL,UCB,84,10,smooth
763,73.46405766955306,74.3718129485352,OL,UCB,85,10,smooth
764,72.42218885005488,73.32994412903702,OL,UCB,86,10,smooth
765,74.02463869370884,74.93239397269097,OL,UCB,87,10,smooth
766,67.79670802469334,68.70446330367548,OL,UCB,88,10,smooth
767,73.57441542581307,74.48217070479521,OL,UCB,89,10,smooth
768,69.83430955993703,70.74206483891916,OL,UCB,8,10,smooth
769,59.45956023247522,60.367315511457356,OL,UCB,9,10,smooth
770,38.94461913811138,37.77293287541368,OL,Entropy,0,5,smooth
771,72.90225659674937,73.8100118757315,OL,Entropy,10,10,rough
772,38.94461913811138,37.77293287541368,OL,Entropy,11,5,smooth
773,59.998122031761774,60.90587731074391,OL,Entropy,13,10,smooth
774,71.89827003034813,72.80602530933027,OL,Entropy,14,10,smooth
775,61.28123559382878,62.18899087281092,OL,Entropy,15,10,rough
776,38.94461913811138,37.77293287541368,OL,Entropy,16,5,rough
